1043	18-35	1	4,00
1043	35-50	1	4,50
1287	18-35	2	4,00
1590	18-35	2	4,00
1630	18-35	1	3,00
1630	35-50	1	3,50
1729	18-35	1	4,00
1729	35-50	1	4,50
1743	18-35	2	4,00
1830	18-35	1	2,00
1830	35-50	1	4,50
1945	18-35	1	3,50
1945	35-50	1	3,50
2056	18-35	1	4,00
2056	35-50	1	4,00
2134	18-35	1	4,50
2134	35-50	1	5,00
2247	18-35	1	3,50
2247	35-50	1	3,50
2389	18-35	1	4,00
2389	35-50	1	4,00
2398	18-35	2	3,75
2450	18-35	1	4,50
2450	35-50	1	3,50
2578	18-35	1	4,00
2578	35-50	1	3,00
2589	18-35	2	3,75
2684	18-35	1	4,00
2684	35-50	1	4,50
2790	18-35	1	3,00
2790	35-50	1	4,50
2831	18-35	2	3,50
2967	18-35	2	4,25
3021	18-35	2	3,75
3150	18-35	2	4,25
3156	18-35	1	4,50
3156	35-50	1	4,00
3278	18-35	2	3,75
3321	18-35	2	3,50
3467	18-35	1	4,00
3467	35-50	1	3,50
3589	18-35	1	4,00
3589	35-50	1	4,50
3690	18-35	1	3,00
3690	35-50	1	4,50
3752	18-35	1	3,00
3752	35-50	1	5,00
3791	18-35	2	3,75
3876	18-35	2	4,00
3921	18-35	2	3,50
4024	18-35	1	3,00
4024	35-50	1	4,00
4050	18-35	1	4,50
4050	35-50	1	4,00
4189	18-35	1	4,50
4189	35-50	1	4,00
4234	18-35	2	3,00
4357	18-35	2	4,00
4367	18-35	2	4,50
4450	18-35	1	4,50
4450	35-50	1	3,50
4589	18-35	1	4,00
4589	35-50	1	3,00
4670	18-35	1	4,00
4670	35-50	1	4,50
4782	18-35	1	3,00
4782	35-50	1	4,50
4862	18-35	2	3,75
4893	18-35	2	3,50
4950	18-35	2	4,25
5012	18-35	1	4,00
5012	35-50	1	4,00
5210	18-35	2	3,50
5274	18-35	1	3,00
5274	35-50	1	4,00
5882	18-35	1	3,00
5882	35-50	1	4,00
5930	18-35	2	4,00
