1043	F	1	4,00
1043	M	1	4,50
1287	F	1	5,00
1287	M	1	3,00
1590	F	1	4,00
1590	M	1	4,00
1630	F	1	3,00
1630	M	1	3,50
1729	F	1	4,00
1729	M	1	4,50
1743	F	1	4,50
1743	M	1	3,50
1830	F	1	2,00
1830	M	1	4,50
1945	F	1	3,50
1945	M	1	3,50
2056	F	1	4,00
2056	M	1	4,00
2134	F	1	4,50
2134	M	1	5,00
2247	F	1	3,50
2247	M	1	3,50
2389	F	1	4,00
2389	M	1	4,00
2398	F	1	4,00
2398	M	1	3,50
2450	F	1	4,50
2450	M	1	3,50
2578	F	1	4,00
2578	M	1	3,00
2589	F	1	4,50
2589	M	1	3,00
2684	F	1	4,00
2684	M	1	4,50
2790	F	1	3,00
2790	M	1	4,50
2831	F	1	3,00
2831	M	1	4,00
2967	F	1	3,50
2967	M	1	5,00
3021	F	1	3,50
3021	M	1	4,00
3150	F	1	4,50
3150	M	1	4,00
3156	F	1	4,50
3156	M	1	4,00
3278	F	1	4,50
3278	M	1	3,00
3321	F	1	4,00
3321	M	1	3,00
3467	F	1	4,00
3467	M	1	3,50
3589	F	1	4,00
3589	M	1	4,50
3690	F	1	3,00
3690	M	1	4,50
3752	F	1	3,00
3752	M	1	5,00
3791	F	1	4,00
3791	M	1	3,50
3876	F	1	4,00
3876	M	1	4,00
3921	F	1	3,50
3921	M	1	3,50
4024	F	1	3,00
4024	M	1	4,00
4050	F	1	4,50
4050	M	1	4,00
4189	F	1	4,50
4189	M	1	4,00
4234	F	1	3,00
4234	M	1	3,00
4357	F	1	3,50
4357	M	1	4,50
4367	F	1	4,00
4367	M	1	5,00
4450	F	1	4,50
4450	M	1	3,50
4589	F	1	4,00
4589	M	1	3,00
4670	F	1	4,00
4670	M	1	4,50
4782	F	1	3,00
4782	M	1	4,50
4862	F	1	5,00
4862	M	1	2,50
4893	F	1	3,00
4893	M	1	4,00
4950	F	1	3,50
4950	M	1	5,00
5012	F	1	4,00
5012	M	1	4,00
5210	F	1	2,50
5210	M	1	4,50
5274	F	1	3,00
5274	M	1	4,00
5882	F	1	3,00
5882	M	1	4,00
5930	F	1	3,50
5930	M	1	4,50
