1043	2	4,25
1287	2	4,00
1590	2	4,00
1630	2	3,25
1729	2	4,25
1743	2	4,00
1830	2	3,25
1945	2	3,50
2056	2	4,00
2134	2	4,75
2247	2	3,50
2389	2	4,00
2398	2	3,75
2450	2	4,00
2578	2	3,50
2589	2	3,75
2684	2	4,25
2790	2	3,75
2831	2	3,50
2967	2	4,25
3021	2	3,75
3150	2	4,25
3156	2	4,25
3278	2	3,75
3321	2	3,50
3467	2	3,75
3589	2	4,25
3690	2	3,75
3752	2	4,00
3791	2	3,75
3876	2	4,00
3921	2	3,50
4024	2	3,50
4050	2	4,25
4189	2	4,25
4234	2	3,00
4357	2	4,00
4367	2	4,50
4450	2	4,00
4589	2	3,50
4670	2	4,25
4782	2	3,75
4862	2	3,75
4893	2	3,50
4950	2	4,25
5012	2	4,00
5210	2	3,50
5274	2	3,50
5882	2	3,50
5930	2	4,00
